Filename,Baseline Accuracy (%),Modified Accuracy (%),Baseline Text,Modified Text,Ground Truth
104.73_105.551.mp3,0.0,0.0, Hold on., Hold on.,all done
121.222_121.803.mp3,0.0,0.0, So ready., So many.,no running
155.967_183.103.mp3,60.0,72.0, Drafts can get her. Not to fall down. The elephant is hurt. The elephant is crying in the draft., drafts can get her. Not to fall down. The elephant is hurt. And the elephant is crying and the draft is helping the,giraffe is going to get her not to fall down the elephant is hurt and the elephant he is crying and the giraffe is helping
201.003_203.184.mp3,100.0,100.0, It hurts., It hurts.,it hurts
205.665_206.465.mp3,100.0,100.0, Hold still., Hold still.,hold still
206.585_208.246.mp3,50.0,100.0, I won't hurt you., It won't hurt.,it will not hurt
214.989_215.429.mp3,0.0,0, Bye., Thank you.,mikey
216.491_220.895.mp3,87.5,75.0, and he came and he looked at that., and he came and he looked at that video,and he came and he looked at it
221.575_230.663.mp3,100.0,100.0, It was bleeding., It was bleeding.,it was bleeding
246.445_257.071.mp3,70.0,60.0," the Mikey Dress. He was helping, the helping get the elephant home.", the Mikey Draft here was helping the helping get the elephant home.,the mikey giraffe he was helping get the elephant home
276.897_277.257.mp3,100.0,100.0, No., No.,no
283.841_284.161.mp3,100.0,100.0, Yeah., Yeah.,yeah
297.828_299.549.mp3,100.0,100.0, And the elephant said yes., And the elephant said yes.,and the elephant said yes
319.451_323.594.mp3,66.67,66.67," and like he said, no, no, no."," Lakey said, no, no, no.",and mikey said no no no
328.258_333.062.mp3,0,0.0, Come activities with ftest- to make teams that than, Oops.,whoops
334.643_337.025.mp3,100.0,100.0, Now you put it on the water., Now you put it on the water.,now you put it on the water
338.51_339.33.mp3,100.0,100.0, You get it., You get it.,you get it
342.692_344.332.mp3,100.0,100.0, and he got mad., and he got mad.,and he got mad
346.453_347.834.mp3,100.0,100.0, He's not happy., He's not happy.,he is not happy
379.342_381.122.mp3,100.0,100.0, And that's not very nice., And that's not very nice.,and that is not very nice
38.514_41.654.mp3,0.0,0, um okay," Um, um, okay.",okay
390.887_394.348.mp3,50.0,50.0, And what happened? I think they were..., And what happened? I think they went,and what happened i did not do it
397.099_399.26.mp3,62.5,100.0," Like, he's not a best friend no more.", Mikey's not my best friend no more.,mikey is not my best friend no more
399.28_400.96.mp3,100.0,100.0, okay, Okay,okay
404.882_406.923.mp3,100.0,100.0, I can't reach it., I can't reach it.,i can not reach it
415.906_418.107.mp3,50.0,75.0, and making his crying., And making is crying.,and mikey is crying
458.902_460.343.mp3,100.0,33.33, It's already..., already,it is already
463.008_466.29.mp3,100.0,87.5," And Mikey said, don't grab my toy."," Mikey said, don't grab my toy.",and mikey said do not grab my toy
467.031_467.972.mp3,0.0,0.0," Thanks, first.", first.,ask 1st
472.376_480.042.mp3,88.89,88.89," And the elephant said, I play your game please.", the elephant said I play your plane please,and the elephant said i play your plane please
48.395_51.316.mp3,85.71,85.71, Maybe he says yes or no., Maybe he says yes or no.,and maybe he says yes or no
486.167_487.809.mp3,50.0,50.0, Okay, Okay,0 okay
502.666_502.846.mp3,0.0,0.0,, the,okay
503.707_506.269.mp3,66.67,66.67, kangaroo and the bunny rabbit, kangaroo and the bunny rabbit.,a kangaroo and a bunny rabbit
513.734_517.877.mp3,100.0,88.89, And the bunny rabbit is building his own castle., and the funding rabbit is building his own castle.,and the bunny rabbit is building his own castle
554.13_554.41.mp3,100.0,100.0, Yeah., Yeah.,yeah
57.237_57.957.mp3,50.0,50.0, No., Oh no!,0 no
595.138_597.779.mp3,100.0,100.0," And I said, sorry."," And I said, sorry.",and i said sorry
602.942_604.663.mp3,50.0,75.0, darling was cruel, Darling was crying,and darling was crying
642.283_643.464.mp3,80.0,80.0, He can turn the page., He can turn the page.,you can turn the page
669.638_678.725.mp3,90.0,80.0, Then the bunny rabbit is going to be throwing up., Then the bunny ramp is going to be throwing up.,and the bunny rabbit is going to be throwing up
678.745_681.567.mp3,66.67,66.67, Darling is calling the daughter, Darling is calling the daughter.,and darling is calling the doctor
684.229_685.85.mp3,60.0,40.0, 20 rub is in danger., 20 Remins in Danger.,bunny rabbit is in danger
698.92_700.621.mp3,25.0,25.0, Here's billion cent., Here's billion six.,he is feeling sick
774.559_774.599.mp3,0.0,0.0,, you,no
796.876_798.517.mp3,100.0,75.0, Get your own balloon., Get your own blue.,get your own balloon
810.665_811.386.mp3,100.0,100.0, Okay., Okay.,okay
812.466_813.047.mp3,0,50.0, You're with., you wish.,your wish
848.812_877.815.mp3,57.58,63.64," And the buddy rabbit said, Doctor, you had money, five cents. I'm gonna get a balloon. Two balloons. And he gives him one. Now all balloons are gone. It flies away. See in there."," And the buddy rabbit said, Doctor, you had money, five cents. I'm gonna get a balloon, two balloons. And he gives him one. No, all balloons are gone. It flies away. And they have",and the bunny rabbit said doctor you have money ¢5 i m going to get 2 balloons and he give him one now all balloons are gone it flies away and they have
878.775_880.857.mp3,33.33,83.33, To the they have what?," Two of them, they have one.",2 of them they have one
96.104_96.644.mp3,0,50.0, That's a good one., Step again.,that again
