Filename,Baseline Accuracy (%),Modified Accuracy (%),Baseline Text,Modified Text,Ground Truth
102.311_105.652.mp3,100.0,100.0, Mommy took the baby away., Mommy took the baby away.,mommy took the baby away
111.295_115.257.mp3,85.71,85.71, The mommy took the baby away., The mommy took the baby away.,the mommy took the baby away again
129.653_131.374.mp3,33.33,83.33, taking the blues where I..., taking the blue for a ride.,taking the balloon for a ride
133.874_136.535.mp3,12.5,100.0, and now voice taking the blue in a way., and the boy's taking the balloon away.,and the boy is taking the balloon away
136.555_145.198.mp3,0,100.0, August 45 days Jason. I am pointing theadas, He's pulling the balloon off.,he is pulling the balloon off
147.478_148.819.mp3,0,60.0, a boom to find a way., a balloon flying away.,the balloon is flying away
148.839_152.3.mp3,100.0,100.0, The boy got mad., The boy got mad.,the boy got mad
170.509_173.13.mp3,100.0,100.0, and then the boy got one., and then the boy got one.,and then the boy got one
174.77_180.591.mp3,33.33,66.67, and the basic cut on it., and the baby got on it.,and the baby got one too
219.441_220.961.mp3,0.0,0.0, bolts bolt bolt search, but,that is the end
230.445_231.626.mp3,0,0.0, I woke up kind of less early, long got there any,the ball got dirty
242.49_244.431.mp3,83.33,66.67, a girl helped him get up., like girl help him get up,the girl helped him get up
247.119_249.12.mp3,0.0,75.0, most likely best ever., and they play basketball.,and they played basketball
250.68_252.361.mp3,83.33,100.0, that's the end again., And that's the end again.,and that is the end again
256.242_259.643.mp3,14.29,100.0, And so this ughin' water..., They didn't jump in the water.,they did not jump in the water
281.821_283.723.mp3,0,75.0," As soon as it starts,", He started to cry.,she started to cry
330.441_333.822.mp3,33.33,77.78, and not a girl tried to fight her every day., And now the girl tried to fight her airplane.,and now the girl tried to fly the airplane
336.633_340.456.mp3,75.0,75.0, out the girl chopped it in the water., the girl chopped it in the water,now the girl dropped it in the water
343.379_344.8.mp3,100.0,100.0, Now the boy got mad., Now the boy got mad.,now the boy got mad
351.586_355.829.mp3,25.0,25.0, I have a girl got stabbed at that boy., I had a girl got stabbed at that boy.,now the girl got scared of the boy
369.105_372.346.mp3,0.0,0.0, that they coaxed their son together., that they coat first time together.,the coach was trying to get it
374.846_381.328.mp3,40.0,60.0," I'm trying to get it and then they coached, they gave it.", out my coach and try to get it and then the coach then get it.,now the coach tried to get it and then the coach did not get it
383.189_388.25.mp3,60.0,70.0," Now, the girl, you tried it. Get it, it was the net.", out the girl and try to get it with the net.,now the girl tried to get it with the net
392.851_394.372.mp3,20.0,0.0, to go almost gone., like they're almost done.,the girl almost got it
41.896_43.257.mp3,0.0,0.0,罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝罝�, Thank you.,mouse is digging
46.018_47.539.mp3,100.0,80.0, putting it in the bucket., put it in the bucket.,putting it in the bucket
55.584_55.964.mp3,0.0,0.0, Hello., wrote.,broke
59.491_60.472.mp3,100.0,100.0, making it., making it,making it
66.675_70.157.mp3,0.0,42.86,次のオン神と臨時できればいいぞ, I'm going on a video tip.,mouse is going on a field trip
72.738_74.659.mp3,0,60.0, I'm gonna paint with it., I'm having a picnic.,mouse is having a picnic
79.441_81.623.mp3,80.0,100.0, They spilled on the juice., They spilled all the juice.,they spilled all the juice
85.745_88.006.mp3,0.0,0, What Fürge is that?, I don't have to.,they broke their juice
