Filename,Baseline Accuracy (%),Modified Accuracy (%),Baseline Text,Modified Text,Ground Truth
104.73_105.551.mp3,100.0,50.0, all done.," Oh, done.",all done
121.222_121.803.mp3,0,0.0," Biennidades, 41 servings.", you,no running
155.967_183.103.mp3,60.0,68.0, The drafts can get her. Not to fall down. The elephant is hurt. In the elephant he's crying in the draft is help in the..., the drafts can get her. Not to fall down. The elephant is hurt. In the elephant he's crying in the draft is helping the,giraffe is going to get her not to fall down the elephant is hurt and the elephant he is crying and the giraffe is helping
201.003_203.184.mp3,100.0,0.0, It hurts., hurts and,it hurts
205.665_206.465.mp3,50.0,50.0, God still., still,hold still
206.585_208.246.mp3,50.0,25.0, I won't hurt him., I won't hurt any more.,it will not hurt
214.989_215.429.mp3,0,0, Thank you., Thank you.,mikey
216.491_220.895.mp3,75.0,75.0, And he came and looked at that., and he came and looked at that.,and he came and he looked at it
221.575_230.663.mp3,0.0,66.67, The man was bleeding. And..., was bleeding.,it was bleeding
246.445_257.071.mp3,50.0,20.0," Mikey Draft, he was helping the helping get the awesome home."," The Mikey draft, he was helping the hoping getter. I was in a home.",the mikey giraffe he was helping get the elephant home
276.897_277.257.mp3,100.0,100.0, No., No.,no
283.841_284.161.mp3,0.0,100.0,, Yeah.,yeah
297.828_299.549.mp3,100.0,100.0, and the elephant said yes., and the elephant said yes.,and the elephant said yes
319.451_323.594.mp3,66.67,66.67," And, like he said, no. No no.", and like he said no no no,and mikey said no no no
328.258_333.062.mp3,0,0.0, Liv? amiga, lips.,whoops
334.643_337.025.mp3,100.0,100.0, Now you put it on the water., Now you put it on the water.,now you put it on the water
338.51_339.33.mp3,0.0,33.33,4, You're kidding.,you get it
342.692_344.332.mp3,75.0,75.0, He got mad., He got mad.,and he got mad
346.453_347.834.mp3,75.0,75.0, is not happy., is not happy.,he is not happy
379.342_381.122.mp3,100.0,100.0, And that's not very nice., And that's not very nice.,and that is not very nice
38.514_41.654.mp3,0,100.0," Um, um, okay.", Okay.,okay
390.887_394.348.mp3,50.0,50.0," and what happened, I think they were...", And what happened? I think they were...,and what happened i did not do it
397.099_399.26.mp3,37.5,50.0, making up a best friend or more., Like is that a best friend or more?,mikey is not my best friend no more
399.28_400.96.mp3,100.0,100.0, Okay., Okay.,okay
404.882_406.923.mp3,100.0,100.0, I can't reach it., I can't reach it.,i can not reach it
415.906_418.107.mp3,50.0,50.0, and making his crying., and making his crying.,and mikey is crying
458.902_460.343.mp3,33.33,33.33, already, already,it is already
463.008_466.29.mp3,87.5,100.0," And Mikey said, don't grab my toilet."," And Mikey said, don't grab my toy.",and mikey said do not grab my toy
467.031_467.972.mp3,0.0,0.0, fazo Spread白纸, first,ask 1st
472.376_480.042.mp3,88.89,77.78," The elephant said, I play your plane, please."," The elephant said, I play your clean please.",and the elephant said i play your plane please
48.395_51.316.mp3,85.71,85.71, Maybe he says yes or no., Maybe he says yes or no,and maybe he says yes or no
486.167_487.809.mp3,0.0,50.0," 어, Inside", Okay,0 okay
502.666_502.846.mp3,0.0,0.0,, you,okay
503.707_506.269.mp3,50.0,50.0, kangaroo and the buddy rabbit., kangaroo and the buddy rabbit.,a kangaroo and a bunny rabbit
513.734_517.877.mp3,88.89,88.89, The bunny rabbit is building his own castle., The bunny rabbit is building his own castle,and the bunny rabbit is building his own castle
554.13_554.41.mp3,0.0,100.0,, Yeah.,yeah
57.237_57.957.mp3,50.0,50.0, Oh no!, Oh no.,0 no
595.138_597.779.mp3,75.0,75.0, I said sorry., I said sorry,and i said sorry
602.942_604.663.mp3,100.0,100.0, and darling was crying., and darling was crying.,and darling was crying
642.283_643.464.mp3,100.0,100.0, You can turn the page., you can turn the page,you can turn the page
669.638_678.725.mp3,70.0,60.0, Then the bully ram is going to be throwing up., Then the belly ram is going to be flowing up.,and the bunny rabbit is going to be throwing up
678.745_681.567.mp3,50.0,66.67, and darlings calling the daughter., Darling is calling the daughter,and darling is calling the doctor
684.229_685.85.mp3,0.0,20.0, 22 superiority Price, 21% danger.,bunny rabbit is in danger
698.92_700.621.mp3,0.0,0.0, stated lab name not, Billions set.,he is feeling sick
774.559_774.599.mp3,0.0,0.0,, you,no
796.876_798.517.mp3,25.0,75.0," Get it, all blue.", Get your own blue.,get your own balloon
810.665_811.386.mp3,100.0,100.0, Okay., Okay.,okay
812.466_813.047.mp3,50.0,0.0, your way., you with.,your wish
848.812_877.815.mp3,60.61,66.67," And the bunny rabbit said, Dr. you have money, five cents. I'm gonna get a balloon, two balloons. And he gives him one. No, all balloon are gone. It flies away. He and they have..."," And the bunny rabbit said, Doctor, you have my license. I'm gonna get a balloon to balloons. And he gives him one. No, all balloon are gone. It flies away. And they have",and the bunny rabbit said doctor you have money ¢5 i m going to get 2 balloons and he give him one now all balloons are gone it flies away and they have
878.775_880.857.mp3,66.67,33.33, to them they have one., to the day have one.,2 of them they have one
96.104_96.644.mp3,50.0,0, That's again., Bye for now.,that again
