Filename,Transcription,Ground Truth,Accuracy (%)
104.73_105.551.mp3, all done.,all done,100.0
121.222_121.803.mp3, learning. you,no running,0.0
155.967_183.103.mp3, The drafts can get her. Not to fall down. The elephant is hurt. In the elephant he's crying in the draft is help in the...,giraffe is going to get her not to fall down the elephant is hurt and the elephant he is crying and the giraffe is helping,60.0
201.003_203.184.mp3, It hurts.,it hurts,100.0
205.665_206.465.mp3, done,hold still,0.0
206.585_208.246.mp3, I won't hurt him.,it will not hurt,50.0
214.989_215.429.mp3, Thank you.,mikey,-100.0
216.491_220.895.mp3, And he came and looked at that.,and he came and he looked at it,75.0
221.575_230.663.mp3, necesitmayıste Francis,it was bleeding,0.0
246.445_257.071.mp3," Mikey Draft, he was helping the helping get the awesome home.",the mikey giraffe he was helping get the elephant home,50.0
276.897_277.257.mp3, No.,no,100.0
283.841_284.161.mp3,,yeah,0.0
297.828_299.549.mp3, and the elephant said yes.,and the elephant said yes,100.0
319.451_323.594.mp3," Like he said, no, no, no.",and mikey said no no no,66.67
328.258_333.062.mp3, CR Hell!,whoops,-100.0
334.643_337.025.mp3, Now you put it on the water.,now you put it on the water,100.0
338.51_339.33.mp3,あとに上がれ,you get it,0.0
342.692_344.332.mp3, He got mad.,and he got mad,75.0
346.453_347.834.mp3, is not happy.,he is not happy,75.0
379.342_381.122.mp3, And that's not very nice.,and that is not very nice,100.0
38.514_41.654.mp3," Um, um, okay.",okay,-100.0
390.887_394.348.mp3," and what happened, I think they were...",and what happened i did not do it,50.0
397.099_399.26.mp3, making up a best friend or more.,mikey is not my best friend no more,37.5
399.28_400.96.mp3, Okay.,okay,100.0
404.882_406.923.mp3, I can't reach it.,i can not reach it,100.0
415.906_418.107.mp3, and making his crying.,and mikey is crying,50.0
458.902_460.343.mp3, already,it is already,33.33
463.008_466.29.mp3, And make you said don'tgramm and torch.,and mikey said do not grab my toy,25.0
467.031_467.972.mp3, Then we'll ask first.,ask 1st,-100.0
472.376_480.042.mp3," The elephant said, I play your plane, please.",and the elephant said i play your plane please,88.89
48.395_51.316.mp3, Maybe he says yes or no.,and maybe he says yes or no,85.71
486.167_487.809.mp3, 난 이거.,0 okay,0.0
502.666_502.846.mp3,,okay,0.0
503.707_506.269.mp3, kangaroo and the buddy rabbit.,a kangaroo and a bunny rabbit,50.0
513.734_517.877.mp3, The bunny rabbit is building his own castle.,and the bunny rabbit is building his own castle,88.89
554.13_554.41.mp3,,yeah,0.0
57.237_57.957.mp3, Oh no!,0 no,50.0
595.138_597.779.mp3, I said sorry.,and i said sorry,75.0
602.942_604.663.mp3, and darling was crying.,and darling was crying,100.0
642.283_643.464.mp3, You can turn the page.,you can turn the page,100.0
669.638_678.725.mp3, Then the bully ram is going to be throwing up.,and the bunny rabbit is going to be throwing up,70.0
678.745_681.567.mp3, and darlings calling the daughter.,and darling is calling the doctor,50.0
684.229_685.85.mp3, we are going to give it even more comforts up until it becomes more relatons,bunny rabbit is in danger,-200.0
698.92_700.621.mp3, Burheen Sith,he is feeling sick,0.0
774.559_774.599.mp3,,no,0.0
796.876_798.517.mp3, Did you eat it? Oh no.,get your own balloon,-50.0
810.665_811.386.mp3, Okay.,okay,100.0
812.466_813.047.mp3, your way.,your wish,50.0
848.812_877.815.mp3," And the bunny rabbit said, Dr. you have money, five cents. I'm gonna get a balloon, two balloons. And he gives him one. No, all balloon are gone. It flies away. He and they have...",and the bunny rabbit said doctor you have money ¢5 i m going to get 2 balloons and he give him one now all balloons are gone it flies away and they have,60.61
878.775_880.857.mp3, to them they have one.,2 of them they have one,66.67
96.104_96.644.mp3, That's again.,that again,50.0
