Filename,Baseline Accuracy (%),Modified Accuracy (%),Baseline Text,Modified Text,Ground Truth
103.536_107.319.mp3,66.67,33.33, and the doctors taking the wavid's temperature., and the doctors taking the rabbits down the drill.,and the doctor is taking the rabbit is temperature
109.101_110.662.mp3,100.0,100.0, And then he's all better., And then he's all better.,and then he is all better
116.372_119.993.mp3,0.0,18.18, I obviously see Alan down at the Moon., the web that you see on the moon and you leave.,the rabbit sees the animal with a balloon and he waves
122.054_125.555.mp3,83.33,83.33, The rabbit is getting the balloon., the rabbit is getting the balloon.,the rabbit is grabbing the balloon
127.676_130.156.mp3,88.89,77.78, And now the weather is playing with the balloon., And now the weather is playing with the balloons.,and now the rabbit is playing with the balloon
131.617_134.318.mp3,87.5,87.5, by accident he let go of it., by accident he let go of it,and by accident he let go of it
135.738_137.579.mp3,33.33,44.44, I know it's wrapped in this guy., and now it's wrapping this guy.,and now it is way up in the sky
139.219_141.56.mp3,87.5,75.0, and then they see a man with balloon., and then they see a man with a balloon.,and then they see a man with balloons
143.934_147.117.mp3,100.0,100.0, and the bunny asks if he can get one., and the bunny asks if he can get one.,and the bunny asks if he can get one
156.604_159.866.mp3,100.0,100.0, And then he frowns because he doesn't have any money., And then he frowns because he doesn't have any money.,and then he frowns because he does not have any money
161.588_165.851.mp3,91.67,91.67, And then he wants to his dad or his mom or whatever.," And then he wants to his dad, or his mom, or whatever.",and then he runs to his dad or his mom or whatever
167.512_171.035.mp3,88.89,66.67," And he asks, what to buy him a balloon."," And yes, hope to buy him a balloon.",and he asks her to buy him a balloon
181.605_186.566.mp3,0,0," Case the Jurassic, the buddocell and all dance with The unwiselyformation, hardness, muمكن ThPhone Prodigmy"," Okay, the Jurassic, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, the elephant, elephant, the elephant, the elephant, the elephant, the elephant, elephant, the elephant, elephant, the elephant, elephant, the elephant, elephant, the elephant, elephant, the elephant, elephant, the elephant, elephant, the elephant, elephant, the elephant, elephant, elephant, the elephant, elephant, elephant, elephant, elephant, elephant, elephant, elephant, elephant, elephant, elephant, elephant, elephant, elephant, elephant, elephant, elephant, elephant, elephant, elephant, elephant, elephant, elephant, elephant, elephant, elephant, elephant",okay the giraffe and the elephant are bouncing a ball
188.146_189.626.mp3,80.0,60.0, it goes into the prudence., goes into the plural.,it goes into the pool
189.646_197.128.mp3,25.0,0.0, Yeah. Yeah. Pinch your story., Yeah.,it is your story
204.56_207.241.mp3,100.0,100.0, and then he brings it out to the elephant., and then he brings it out to the elephant.,and then he brings it out to the elephant
224.644_227.505.mp3,66.67,44.44, and a film to go off the diving board., and a film to once took off the diving board.,the elephant wants to go off the diving board
229.045_230.026.mp3,50.0,50.0, She slept., She sleeps.,she slips
233.433_236.374.mp3,28.57,28.57, She found she could only..., She found she could only,she fell and she hurt her knee
238.335_240.696.mp3,28.57,57.14, And now the life's cold cup is rushing over., And now the life's cold comes rushing over.,and now the lifeguard comes rushing over
